fecha_resultado,pais,iso3c,departamento,n,n_acum
2020-03-17,Peru,PER,LA LIBERTAD,1,2
2020-03-18,Peru,PER,LA LIBERTAD,1,2
2020-03-19,Peru,PER,LA LIBERTAD,1,2
2020-03-20,Peru,PER,LA LIBERTAD,2,4
2020-03-21,Peru,PER,LA LIBERTAD,2,4
2020-03-22,Peru,PER,LA LIBERTAD,2,4
2020-03-23,Peru,PER,LA LIBERTAD,1,5
2020-03-24,Peru,PER,LA LIBERTAD,1,6
2020-03-25,Peru,PER,LA LIBERTAD,3,9
2020-03-26,Peru,PER,LA LIBERTAD,3,9
2020-03-27,Peru,PER,LA LIBERTAD,1,10
2020-03-28,Peru,PER,LA LIBERTAD,2,12
2020-03-29,Peru,PER,LA LIBERTAD,2,14
2020-03-30,Peru,PER,LA LIBERTAD,4,18
2020-03-31,Peru,PER,LA LIBERTAD,11,29
2020-04-01,Peru,PER,LA LIBERTAD,7,36
2020-04-02,Peru,PER,LA LIBERTAD,7,43
2020-04-03,Peru,PER,LA LIBERTAD,5,48
2020-04-04,Peru,PER,LA LIBERTAD,1,49
2020-04-05,Peru,PER,LA LIBERTAD,7,56
2020-04-06,Peru,PER,LA LIBERTAD,4,60
2020-04-07,Peru,PER,LA LIBERTAD,21,81
2020-04-08,Peru,PER,LA LIBERTAD,22,103
2020-04-09,Peru,PER,LA LIBERTAD,7,110
2020-04-10,Peru,PER,LA LIBERTAD,5,115
2020-04-11,Peru,PER,LA LIBERTAD,9,124
2020-04-12,Peru,PER,LA LIBERTAD,3,127
2020-04-13,Peru,PER,LA LIBERTAD,23,150
2020-04-14,Peru,PER,LA LIBERTAD,25,175
2020-04-15,Peru,PER,LA LIBERTAD,27,202
2020-04-16,Peru,PER,LA LIBERTAD,25,227
2020-04-17,Peru,PER,LA LIBERTAD,26,253
2020-04-18,Peru,PER,LA LIBERTAD,27,280
2020-04-19,Peru,PER,LA LIBERTAD,10,290
2020-04-20,Peru,PER,LA LIBERTAD,53,343
2020-04-21,Peru,PER,LA LIBERTAD,45,388
2020-04-22,Peru,PER,LA LIBERTAD,46,434
2020-04-23,Peru,PER,LA LIBERTAD,40,474
2020-04-24,Peru,PER,LA LIBERTAD,22,496
2020-04-25,Peru,PER,LA LIBERTAD,53,549
2020-04-26,Peru,PER,LA LIBERTAD,8,557
2020-04-27,Peru,PER,LA LIBERTAD,71,628
2020-04-28,Peru,PER,LA LIBERTAD,177,805
2020-04-29,Peru,PER,LA LIBERTAD,142,947
2020-04-30,Peru,PER,LA LIBERTAD,136,1083
2020-05-01,Peru,PER,LA LIBERTAD,54,1137
2020-05-02,Peru,PER,LA LIBERTAD,116,1253
2020-05-03,Peru,PER,LA LIBERTAD,52,1305
2020-05-04,Peru,PER,LA LIBERTAD,126,1431
2020-05-05,Peru,PER,LA LIBERTAD,151,1582
2020-05-06,Peru,PER,LA LIBERTAD,112,1694
2020-05-07,Peru,PER,LA LIBERTAD,54,1748
2020-05-08,Peru,PER,LA LIBERTAD,73,1821
2020-05-09,Peru,PER,LA LIBERTAD,84,1905
2020-05-10,Peru,PER,LA LIBERTAD,38,1943
2020-05-11,Peru,PER,LA LIBERTAD,58,2001
2020-05-12,Peru,PER,LA LIBERTAD,105,2106
2020-05-13,Peru,PER,LA LIBERTAD,72,2178
2020-05-14,Peru,PER,LA LIBERTAD,85,2263
2020-05-15,Peru,PER,LA LIBERTAD,212,2475
2020-05-16,Peru,PER,LA LIBERTAD,145,2620
2020-05-17,Peru,PER,LA LIBERTAD,6,2626
2020-05-18,Peru,PER,LA LIBERTAD,120,2746
2020-05-19,Peru,PER,LA LIBERTAD,134,2880
2020-05-20,Peru,PER,LA LIBERTAD,142,3022
2020-05-21,Peru,PER,LA LIBERTAD,267,3289
2020-05-22,Peru,PER,LA LIBERTAD,234,3523
2020-05-23,Peru,PER,LA LIBERTAD,186,3709
2020-05-24,Peru,PER,LA LIBERTAD,68,3777
2020-05-25,Peru,PER,LA LIBERTAD,269,4046
2020-05-26,Peru,PER,LA LIBERTAD,182,4228
2020-05-27,Peru,PER,LA LIBERTAD,181,4409
2020-05-28,Peru,PER,LA LIBERTAD,307,4716
2020-05-29,Peru,PER,LA LIBERTAD,160,4876
2020-05-30,Peru,PER,LA LIBERTAD,173,5049
2020-05-31,Peru,PER,LA LIBERTAD,100,5149
2020-06-01,Peru,PER,LA LIBERTAD,226,5375
2020-06-02,Peru,PER,LA LIBERTAD,101,5476
2020-06-03,Peru,PER,LA LIBERTAD,96,5572
2020-06-04,Peru,PER,LA LIBERTAD,177,5749
2020-06-05,Peru,PER,LA LIBERTAD,123,5872
2020-06-06,Peru,PER,LA LIBERTAD,151,6023
2020-06-07,Peru,PER,LA LIBERTAD,45,6068
2020-06-08,Peru,PER,LA LIBERTAD,190,6258
2020-06-09,Peru,PER,LA LIBERTAD,253,6511
2020-06-10,Peru,PER,LA LIBERTAD,327,6838
2020-06-11,Peru,PER,LA LIBERTAD,203,7041
2020-06-12,Peru,PER,LA LIBERTAD,220,7261
2020-06-13,Peru,PER,LA LIBERTAD,203,7464
2020-06-14,Peru,PER,LA LIBERTAD,70,7534
2020-06-15,Peru,PER,LA LIBERTAD,218,7752
2020-06-16,Peru,PER,LA LIBERTAD,111,7863
2020-06-17,Peru,PER,LA LIBERTAD,249,8112
2020-06-18,Peru,PER,LA LIBERTAD,141,8253
2020-06-19,Peru,PER,LA LIBERTAD,205,8458
2020-06-20,Peru,PER,LA LIBERTAD,192,8650
2020-06-21,Peru,PER,LA LIBERTAD,69,8719
2020-06-22,Peru,PER,LA LIBERTAD,236,8955
2020-06-23,Peru,PER,LA LIBERTAD,233,9188
2020-06-24,Peru,PER,LA LIBERTAD,197,9385
2020-06-25,Peru,PER,LA LIBERTAD,171,9556
2020-06-26,Peru,PER,LA LIBERTAD,225,9781
2020-06-27,Peru,PER,LA LIBERTAD,209,9990
2020-06-28,Peru,PER,LA LIBERTAD,83,10073
2020-06-29,Peru,PER,LA LIBERTAD,113,10186
2020-06-30,Peru,PER,LA LIBERTAD,208,10394
2020-07-01,Peru,PER,LA LIBERTAD,156,10550
2020-07-02,Peru,PER,LA LIBERTAD,212,10762
2020-07-03,Peru,PER,LA LIBERTAD,233,10995
2020-07-04,Peru,PER,LA LIBERTAD,194,11189
2020-07-05,Peru,PER,LA LIBERTAD,43,11232
2020-07-06,Peru,PER,LA LIBERTAD,177,11409
2020-07-07,Peru,PER,LA LIBERTAD,184,11593
2020-07-08,Peru,PER,LA LIBERTAD,114,11707
2020-07-09,Peru,PER,LA LIBERTAD,127,11834
2020-07-10,Peru,PER,LA LIBERTAD,303,12137
2020-07-11,Peru,PER,LA LIBERTAD,203,12340
2020-07-12,Peru,PER,LA LIBERTAD,74,12414
2020-07-13,Peru,PER,LA LIBERTAD,113,12527
2020-07-14,Peru,PER,LA LIBERTAD,120,12647
2020-07-15,Peru,PER,LA LIBERTAD,255,12902
2020-07-16,Peru,PER,LA LIBERTAD,137,13039
2020-07-17,Peru,PER,LA LIBERTAD,166,13205
2020-07-18,Peru,PER,LA LIBERTAD,239,13444
2020-07-19,Peru,PER,LA LIBERTAD,36,13480
2020-07-20,Peru,PER,LA LIBERTAD,105,13585
2020-07-21,Peru,PER,LA LIBERTAD,199,13784
2020-07-22,Peru,PER,LA LIBERTAD,213,13997
2020-07-23,Peru,PER,LA LIBERTAD,252,14249
2020-07-24,Peru,PER,LA LIBERTAD,199,14448
2020-07-25,Peru,PER,LA LIBERTAD,204,14652
2020-07-26,Peru,PER,LA LIBERTAD,47,14699
2020-07-27,Peru,PER,LA LIBERTAD,303,15002
2020-07-28,Peru,PER,LA LIBERTAD,74,15076
2020-07-29,Peru,PER,LA LIBERTAD,286,15362
2020-07-30,Peru,PER,LA LIBERTAD,282,15644
2020-07-31,Peru,PER,LA LIBERTAD,320,15964
2020-08-01,Peru,PER,LA LIBERTAD,220,16184
2020-08-02,Peru,PER,LA LIBERTAD,68,16252
2020-08-03,Peru,PER,LA LIBERTAD,250,16502
2020-08-04,Peru,PER,LA LIBERTAD,268,16770
2020-08-05,Peru,PER,LA LIBERTAD,250,17020
2020-08-06,Peru,PER,LA LIBERTAD,268,17288
2020-08-07,Peru,PER,LA LIBERTAD,298,17586
2020-08-08,Peru,PER,LA LIBERTAD,239,17825
2020-08-09,Peru,PER,LA LIBERTAD,73,17898
2020-08-10,Peru,PER,LA LIBERTAD,295,18193
2020-08-11,Peru,PER,LA LIBERTAD,260,18453
2020-08-12,Peru,PER,LA LIBERTAD,252,18705
2020-08-13,Peru,PER,LA LIBERTAD,257,18962
2020-08-14,Peru,PER,LA LIBERTAD,290,19252
2020-08-15,Peru,PER,LA LIBERTAD,204,19456
2020-08-16,Peru,PER,LA LIBERTAD,54,19510
2020-08-17,Peru,PER,LA LIBERTAD,240,19750
2020-08-18,Peru,PER,LA LIBERTAD,276,20026
2020-08-19,Peru,PER,LA LIBERTAD,275,20301
2020-08-20,Peru,PER,LA LIBERTAD,296,20597
2020-08-21,Peru,PER,LA LIBERTAD,221,20818
2020-08-22,Peru,PER,LA LIBERTAD,197,21015
2020-08-23,Peru,PER,LA LIBERTAD,53,21068
2020-08-24,Peru,PER,LA LIBERTAD,217,21285
2020-08-25,Peru,PER,LA LIBERTAD,314,21599
2020-08-26,Peru,PER,LA LIBERTAD,94,21693
2020-03-14,Peru,PER,LAMBAYEQUE,1,1
2020-03-15,Peru,PER,LAMBAYEQUE,2,3
2020-03-16,Peru,PER,LAMBAYEQUE,3,6
2020-03-17,Peru,PER,LAMBAYEQUE,3,6
2020-03-18,Peru,PER,LAMBAYEQUE,3,6
2020-03-19,Peru,PER,LAMBAYEQUE,3,6
2020-03-20,Peru,PER,LAMBAYEQUE,2,8
2020-03-21,Peru,PER,LAMBAYEQUE,2,8
2020-03-22,Peru,PER,LAMBAYEQUE,2,8
2020-03-23,Peru,PER,LAMBAYEQUE,2,8
2020-03-24,Peru,PER,LAMBAYEQUE,4,12
2020-03-25,Peru,PER,LAMBAYEQUE,4,12
2020-03-26,Peru,PER,LAMBAYEQUE,1,13
2020-03-27,Peru,PER,LAMBAYEQUE,2,15
2020-03-28,Peru,PER,LAMBAYEQUE,7,22
2020-03-29,Peru,PER,LAMBAYEQUE,1,23
2020-03-30,Peru,PER,LAMBAYEQUE,8,31
2020-03-31,Peru,PER,LAMBAYEQUE,4,35
2020-04-01,Peru,PER,LAMBAYEQUE,1,36
2020-04-02,Peru,PER,LAMBAYEQUE,5,41
2020-04-03,Peru,PER,LAMBAYEQUE,31,72
2020-04-04,Peru,PER,LAMBAYEQUE,49,121
2020-04-05,Peru,PER,LAMBAYEQUE,8,129
2020-04-06,Peru,PER,LAMBAYEQUE,28,157
2020-04-07,Peru,PER,LAMBAYEQUE,156,313
2020-04-08,Peru,PER,LAMBAYEQUE,75,388
2020-04-09,Peru,PER,LAMBAYEQUE,20,408
2020-04-10,Peru,PER,LAMBAYEQUE,59,467
2020-04-11,Peru,PER,LAMBAYEQUE,67,534
2020-04-12,Peru,PER,LAMBAYEQUE,56,590
2020-04-13,Peru,PER,LAMBAYEQUE,59,649
2020-04-14,Peru,PER,LAMBAYEQUE,60,709
2020-04-15,Peru,PER,LAMBAYEQUE,176,885
2020-04-16,Peru,PER,LAMBAYEQUE,86,971
2020-04-17,Peru,PER,LAMBAYEQUE,77,1048
2020-04-18,Peru,PER,LAMBAYEQUE,48,1096
2020-04-19,Peru,PER,LAMBAYEQUE,27,1123
2020-04-20,Peru,PER,LAMBAYEQUE,146,1269
2020-04-21,Peru,PER,LAMBAYEQUE,133,1402
2020-04-22,Peru,PER,LAMBAYEQUE,138,1540
2020-04-23,Peru,PER,LAMBAYEQUE,177,1717
2020-04-24,Peru,PER,LAMBAYEQUE,214,1931
2020-04-25,Peru,PER,LAMBAYEQUE,136,2067
2020-04-26,Peru,PER,LAMBAYEQUE,71,2138
2020-04-27,Peru,PER,LAMBAYEQUE,296,2434
2020-04-28,Peru,PER,LAMBAYEQUE,241,2675
2020-04-29,Peru,PER,LAMBAYEQUE,251,2926
2020-04-30,Peru,PER,LAMBAYEQUE,217,3143
2020-05-01,Peru,PER,LAMBAYEQUE,234,3377
2020-05-02,Peru,PER,LAMBAYEQUE,146,3523
2020-05-03,Peru,PER,LAMBAYEQUE,132,3655
2020-05-04,Peru,PER,LAMBAYEQUE,332,3987
2020-05-05,Peru,PER,LAMBAYEQUE,234,4221
2020-05-06,Peru,PER,LAMBAYEQUE,165,4386
2020-05-07,Peru,PER,LAMBAYEQUE,158,4544
2020-05-08,Peru,PER,LAMBAYEQUE,154,4698
2020-05-09,Peru,PER,LAMBAYEQUE,68,4766
2020-05-10,Peru,PER,LAMBAYEQUE,27,4793
2020-05-11,Peru,PER,LAMBAYEQUE,127,4920
2020-05-12,Peru,PER,LAMBAYEQUE,130,5050
2020-05-13,Peru,PER,LAMBAYEQUE,165,5215
2020-05-14,Peru,PER,LAMBAYEQUE,182,5397
2020-05-15,Peru,PER,LAMBAYEQUE,262,5659
2020-05-16,Peru,PER,LAMBAYEQUE,134,5793
2020-05-17,Peru,PER,LAMBAYEQUE,27,5820
2020-05-18,Peru,PER,LAMBAYEQUE,225,6045
2020-05-19,Peru,PER,LAMBAYEQUE,218,6263
2020-05-20,Peru,PER,LAMBAYEQUE,134,6397
2020-05-21,Peru,PER,LAMBAYEQUE,165,6562
2020-05-22,Peru,PER,LAMBAYEQUE,157,6719
2020-05-23,Peru,PER,LAMBAYEQUE,199,6918
2020-05-24,Peru,PER,LAMBAYEQUE,96,7014
2020-05-25,Peru,PER,LAMBAYEQUE,320,7334
2020-05-26,Peru,PER,LAMBAYEQUE,460,7794
2020-05-27,Peru,PER,LAMBAYEQUE,508,8302
2020-05-28,Peru,PER,LAMBAYEQUE,315,8617
2020-05-29,Peru,PER,LAMBAYEQUE,242,8859
2020-05-30,Peru,PER,LAMBAYEQUE,325,9184
2020-05-31,Peru,PER,LAMBAYEQUE,60,9244
2020-06-01,Peru,PER,LAMBAYEQUE,154,9398
2020-06-02,Peru,PER,LAMBAYEQUE,172,9570
2020-06-03,Peru,PER,LAMBAYEQUE,135,9705
2020-06-04,Peru,PER,LAMBAYEQUE,178,9883
2020-06-05,Peru,PER,LAMBAYEQUE,88,9971
2020-06-06,Peru,PER,LAMBAYEQUE,156,10127
2020-06-07,Peru,PER,LAMBAYEQUE,115,10242
2020-06-08,Peru,PER,LAMBAYEQUE,178,10420
2020-06-09,Peru,PER,LAMBAYEQUE,200,10620
2020-06-10,Peru,PER,LAMBAYEQUE,256,10876
2020-06-11,Peru,PER,LAMBAYEQUE,229,11105
2020-06-12,Peru,PER,LAMBAYEQUE,283,11388
2020-06-13,Peru,PER,LAMBAYEQUE,204,11592
2020-06-14,Peru,PER,LAMBAYEQUE,39,11631
2020-06-15,Peru,PER,LAMBAYEQUE,179,11810
2020-06-16,Peru,PER,LAMBAYEQUE,127,11937
2020-06-17,Peru,PER,LAMBAYEQUE,201,12138
2020-06-18,Peru,PER,LAMBAYEQUE,164,12302
2020-06-19,Peru,PER,LAMBAYEQUE,178,12480
2020-06-20,Peru,PER,LAMBAYEQUE,106,12586
2020-06-21,Peru,PER,LAMBAYEQUE,50,12636
2020-06-22,Peru,PER,LAMBAYEQUE,174,12810
2020-06-23,Peru,PER,LAMBAYEQUE,116,12926
2020-06-24,Peru,PER,LAMBAYEQUE,257,13183
2020-06-25,Peru,PER,LAMBAYEQUE,141,13324
2020-06-26,Peru,PER,LAMBAYEQUE,256,13580
2020-06-27,Peru,PER,LAMBAYEQUE,146,13726
2020-06-28,Peru,PER,LAMBAYEQUE,31,13757
2020-06-29,Peru,PER,LAMBAYEQUE,57,13814
2020-06-30,Peru,PER,LAMBAYEQUE,135,13949
2020-07-01,Peru,PER,LAMBAYEQUE,133,14082
2020-07-02,Peru,PER,LAMBAYEQUE,113,14195
2020-07-03,Peru,PER,LAMBAYEQUE,153,14348
2020-07-04,Peru,PER,LAMBAYEQUE,88,14436
2020-07-05,Peru,PER,LAMBAYEQUE,38,14474
2020-07-06,Peru,PER,LAMBAYEQUE,153,14627
2020-07-07,Peru,PER,LAMBAYEQUE,106,14733
2020-07-08,Peru,PER,LAMBAYEQUE,157,14890
2020-07-09,Peru,PER,LAMBAYEQUE,50,14940
2020-07-10,Peru,PER,LAMBAYEQUE,162,15102
2020-07-11,Peru,PER,LAMBAYEQUE,114,15216
2020-07-12,Peru,PER,LAMBAYEQUE,41,15257
2020-07-13,Peru,PER,LAMBAYEQUE,66,15323
2020-07-14,Peru,PER,LAMBAYEQUE,98,15421
2020-07-15,Peru,PER,LAMBAYEQUE,89,15510
2020-07-16,Peru,PER,LAMBAYEQUE,102,15612
2020-07-17,Peru,PER,LAMBAYEQUE,113,15725
2020-07-18,Peru,PER,LAMBAYEQUE,150,15875
2020-07-19,Peru,PER,LAMBAYEQUE,23,15898
2020-07-20,Peru,PER,LAMBAYEQUE,62,15960
2020-07-21,Peru,PER,LAMBAYEQUE,117,16077
2020-07-22,Peru,PER,LAMBAYEQUE,152,16229
2020-07-23,Peru,PER,LAMBAYEQUE,137,16366
2020-07-24,Peru,PER,LAMBAYEQUE,163,16529
2020-07-25,Peru,PER,LAMBAYEQUE,143,16672
2020-07-26,Peru,PER,LAMBAYEQUE,38,16710
2020-07-27,Peru,PER,LAMBAYEQUE,268,16978
2020-07-28,Peru,PER,LAMBAYEQUE,57,17035
2020-07-29,Peru,PER,LAMBAYEQUE,188,17223
2020-07-30,Peru,PER,LAMBAYEQUE,194,17417
2020-07-31,Peru,PER,LAMBAYEQUE,165,17582
2020-08-01,Peru,PER,LAMBAYEQUE,143,17725
2020-08-02,Peru,PER,LAMBAYEQUE,68,17793
2020-08-03,Peru,PER,LAMBAYEQUE,183,17976
2020-08-04,Peru,PER,LAMBAYEQUE,211,18187
2020-08-05,Peru,PER,LAMBAYEQUE,125,18312
2020-08-06,Peru,PER,LAMBAYEQUE,216,18528
2020-08-07,Peru,PER,LAMBAYEQUE,210,18738
2020-08-08,Peru,PER,LAMBAYEQUE,166,18904
2020-08-09,Peru,PER,LAMBAYEQUE,36,18940
2020-08-10,Peru,PER,LAMBAYEQUE,187,19127
2020-08-11,Peru,PER,LAMBAYEQUE,180,19307
2020-08-12,Peru,PER,LAMBAYEQUE,189,19496
2020-08-13,Peru,PER,LAMBAYEQUE,199,19695
2020-08-14,Peru,PER,LAMBAYEQUE,169,19864
2020-08-15,Peru,PER,LAMBAYEQUE,133,19997
2020-08-16,Peru,PER,LAMBAYEQUE,43,20040
2020-08-17,Peru,PER,LAMBAYEQUE,169,20209
2020-08-18,Peru,PER,LAMBAYEQUE,149,20358
2020-08-19,Peru,PER,LAMBAYEQUE,212,20570
2020-08-20,Peru,PER,LAMBAYEQUE,302,20872
2020-08-21,Peru,PER,LAMBAYEQUE,181,21053
2020-08-22,Peru,PER,LAMBAYEQUE,119,21172
2020-08-23,Peru,PER,LAMBAYEQUE,39,21211
2020-08-24,Peru,PER,LAMBAYEQUE,109,21320
2020-08-25,Peru,PER,LAMBAYEQUE,250,21570
2020-08-26,Peru,PER,LAMBAYEQUE,77,21647
2020-03-06,Peru,PER,LIMA,1,1
2020-03-07,Peru,PER,LIMA,4,5
2020-03-08,Peru,PER,LIMA,2,7
2020-03-09,Peru,PER,LIMA,1,8
2020-03-10,Peru,PER,LIMA,1,9
2020-03-11,Peru,PER,LIMA,6,15
2020-03-12,Peru,PER,LIMA,8,23
2020-03-13,Peru,PER,LIMA,9,32
2020-03-14,Peru,PER,LIMA,15,47
2020-03-15,Peru,PER,LIMA,22,69
2020-03-16,Peru,PER,LIMA,15,84
2020-03-17,Peru,PER,LIMA,16,100
2020-03-18,Peru,PER,LIMA,50,150
2020-03-19,Peru,PER,LIMA,53,203
2020-03-20,Peru,PER,LIMA,26,229
2020-03-21,Peru,PER,LIMA,27,256
2020-03-22,Peru,PER,LIMA,32,288
2020-03-23,Peru,PER,LIMA,26,314
2020-03-24,Peru,PER,LIMA,47,361
2020-03-25,Peru,PER,LIMA,83,444
2020-03-26,Peru,PER,LIMA,38,482
2020-03-27,Peru,PER,LIMA,22,504
2020-03-28,Peru,PER,LIMA,82,586
2020-03-29,Peru,PER,LIMA,107,693
2020-03-30,Peru,PER,LIMA,90,783
2020-03-31,Peru,PER,LIMA,190,973
2020-04-01,Peru,PER,LIMA,58,1031
2020-04-02,Peru,PER,LIMA,168,1199
2020-04-03,Peru,PER,LIMA,170,1369
2020-04-04,Peru,PER,LIMA,480,1849
2020-04-05,Peru,PER,LIMA,308,2157
2020-04-06,Peru,PER,LIMA,473,2630
2020-04-07,Peru,PER,LIMA,614,3244
2020-04-08,Peru,PER,LIMA,673,3917
2020-04-09,Peru,PER,LIMA,607,4524
2020-04-10,Peru,PER,LIMA,763,5287
2020-04-11,Peru,PER,LIMA,742,6029
2020-04-12,Peru,PER,LIMA,509,6538
2020-04-13,Peru,PER,LIMA,694,7232
2020-04-14,Peru,PER,LIMA,606,7838
2020-04-15,Peru,PER,LIMA,746,8584
2020-04-16,Peru,PER,LIMA,813,9397
2020-04-17,Peru,PER,LIMA,541,9938
2020-04-18,Peru,PER,LIMA,835,10773
2020-04-19,Peru,PER,LIMA,799,11572
2020-04-20,Peru,PER,LIMA,1073,12645
2020-04-21,Peru,PER,LIMA,1197,13842
2020-04-22,Peru,PER,LIMA,1363,15205
2020-04-23,Peru,PER,LIMA,1229,16434
2020-04-24,Peru,PER,LIMA,1253,17687
2020-04-25,Peru,PER,LIMA,1327,19014
2020-04-26,Peru,PER,LIMA,944,19958
2020-04-27,Peru,PER,LIMA,1869,21827
2020-04-28,Peru,PER,LIMA,1654,23481
2020-04-29,Peru,PER,LIMA,2447,25928
2020-04-30,Peru,PER,LIMA,1652,27580
2020-05-01,Peru,PER,LIMA,1299,28879
2020-05-02,Peru,PER,LIMA,1842,30721
2020-05-03,Peru,PER,LIMA,1157,31878
2020-05-04,Peru,PER,LIMA,2147,34025
2020-05-05,Peru,PER,LIMA,2310,36335
2020-05-06,Peru,PER,LIMA,2211,38546
2020-05-07,Peru,PER,LIMA,2266,40812
2020-05-08,Peru,PER,LIMA,1943,42755
2020-05-09,Peru,PER,LIMA,1360,44115
2020-05-10,Peru,PER,LIMA,586,44701
2020-05-11,Peru,PER,LIMA,2225,46926
2020-05-12,Peru,PER,LIMA,2837,49763
2020-05-13,Peru,PER,LIMA,2618,52381
2020-05-14,Peru,PER,LIMA,2063,54444
2020-05-15,Peru,PER,LIMA,2219,56663
2020-05-16,Peru,PER,LIMA,2282,58945
2020-05-17,Peru,PER,LIMA,1241,60186
2020-05-18,Peru,PER,LIMA,2885,63071
2020-05-19,Peru,PER,LIMA,2647,65718
2020-05-20,Peru,PER,LIMA,2748,68466
2020-05-21,Peru,PER,LIMA,2863,71329
2020-05-22,Peru,PER,LIMA,3222,74551
2020-05-23,Peru,PER,LIMA,2792,77343
2020-05-24,Peru,PER,LIMA,923,78266
2020-05-25,Peru,PER,LIMA,3839,82105
2020-05-26,Peru,PER,LIMA,3809,85914
2020-05-27,Peru,PER,LIMA,4020,89934
2020-05-28,Peru,PER,LIMA,3376,93310
2020-05-29,Peru,PER,LIMA,2999,96309
2020-05-30,Peru,PER,LIMA,2436,98745
2020-05-31,Peru,PER,LIMA,1300,100045
2020-06-01,Peru,PER,LIMA,1935,101980
2020-06-02,Peru,PER,LIMA,1806,103786
2020-06-03,Peru,PER,LIMA,848,104634
2020-06-04,Peru,PER,LIMA,1763,106397
2020-06-05,Peru,PER,LIMA,2610,109007
2020-06-06,Peru,PER,LIMA,2348,111355
2020-06-07,Peru,PER,LIMA,1625,112980
2020-06-08,Peru,PER,LIMA,2147,115127
2020-06-09,Peru,PER,LIMA,2584,117711
2020-06-10,Peru,PER,LIMA,2568,120279
2020-06-11,Peru,PER,LIMA,1908,122187
2020-06-12,Peru,PER,LIMA,1572,123759
2020-06-13,Peru,PER,LIMA,1939,125698
2020-06-14,Peru,PER,LIMA,1501,127199
2020-06-15,Peru,PER,LIMA,2092,129291
2020-06-16,Peru,PER,LIMA,1638,130929
2020-06-17,Peru,PER,LIMA,1602,132531
2020-06-18,Peru,PER,LIMA,1506,134037
2020-06-19,Peru,PER,LIMA,1242,135279
2020-06-20,Peru,PER,LIMA,1527,136806
2020-06-21,Peru,PER,LIMA,560,137366
2020-06-22,Peru,PER,LIMA,1749,139115
2020-06-23,Peru,PER,LIMA,1654,140769
2020-06-24,Peru,PER,LIMA,1750,142519
2020-06-25,Peru,PER,LIMA,1900,144419
2020-06-26,Peru,PER,LIMA,1710,146129
2020-06-27,Peru,PER,LIMA,1279,147408
2020-06-28,Peru,PER,LIMA,751,148159
2020-06-29,Peru,PER,LIMA,1053,149212
2020-06-30,Peru,PER,LIMA,1336,150548
2020-07-01,Peru,PER,LIMA,1348,151896
2020-07-02,Peru,PER,LIMA,1111,153007
2020-07-03,Peru,PER,LIMA,1413,154420
2020-07-04,Peru,PER,LIMA,1290,155710
2020-07-05,Peru,PER,LIMA,1126,156836
2020-07-06,Peru,PER,LIMA,1432,158268
2020-07-07,Peru,PER,LIMA,1597,159865
2020-07-08,Peru,PER,LIMA,926,160791
2020-07-09,Peru,PER,LIMA,1096,161887
2020-07-10,Peru,PER,LIMA,1691,163578
2020-07-11,Peru,PER,LIMA,1248,164826
2020-07-12,Peru,PER,LIMA,1074,165900
2020-07-13,Peru,PER,LIMA,1763,167663
2020-07-14,Peru,PER,LIMA,1654,169317
2020-07-15,Peru,PER,LIMA,2009,171326
2020-07-16,Peru,PER,LIMA,2084,173410
2020-07-17,Peru,PER,LIMA,2021,175431
2020-07-18,Peru,PER,LIMA,1800,177231
2020-07-19,Peru,PER,LIMA,1185,178416
2020-07-20,Peru,PER,LIMA,1611,180027
2020-07-21,Peru,PER,LIMA,2002,182029
2020-07-22,Peru,PER,LIMA,2314,184343
2020-07-23,Peru,PER,LIMA,1999,186342
2020-07-24,Peru,PER,LIMA,2207,188549
2020-07-25,Peru,PER,LIMA,1909,190458
2020-07-26,Peru,PER,LIMA,1612,192070
2020-07-27,Peru,PER,LIMA,2539,194609
2020-07-28,Peru,PER,LIMA,1169,195778
2020-07-29,Peru,PER,LIMA,2612,198390
2020-07-30,Peru,PER,LIMA,2800,201190
2020-07-31,Peru,PER,LIMA,2665,203855
2020-08-01,Peru,PER,LIMA,2788,206643
2020-08-02,Peru,PER,LIMA,1676,208319
2020-08-03,Peru,PER,LIMA,3005,211324
2020-08-04,Peru,PER,LIMA,2983,214307
2020-08-05,Peru,PER,LIMA,2682,216989
2020-08-06,Peru,PER,LIMA,2907,219896
2020-08-07,Peru,PER,LIMA,2475,222371
2020-08-08,Peru,PER,LIMA,2625,224996
2020-08-09,Peru,PER,LIMA,1729,226725
2020-08-10,Peru,PER,LIMA,2716,229441
2020-08-11,Peru,PER,LIMA,3339,232780
2020-08-12,Peru,PER,LIMA,3576,236356
2020-08-13,Peru,PER,LIMA,3222,239578
2020-08-14,Peru,PER,LIMA,3639,243217
2020-08-15,Peru,PER,LIMA,3488,246705
2020-08-16,Peru,PER,LIMA,2057,248762
2020-08-17,Peru,PER,LIMA,3540,252302
2020-08-18,Peru,PER,LIMA,3366,255668
2020-08-19,Peru,PER,LIMA,3239,258907
2020-08-20,Peru,PER,LIMA,2796,261703
2020-08-21,Peru,PER,LIMA,2937,264640
2020-08-22,Peru,PER,LIMA,2517,267157
2020-08-23,Peru,PER,LIMA,1127,268284
2020-08-24,Peru,PER,LIMA,2427,270711
2020-08-25,Peru,PER,LIMA,2617,273328
2020-08-26,Peru,PER,LIMA,1638,274966
2020-03-19,Peru,PER,LIMA REGION,3,3
2020-03-20,Peru,PER,LIMA REGION,3,3
